seq,x,y
387,6.6051412304086625,-2.662509929630687
388,6.598771601644785,-2.6548017999201647
389,6.589999629184604,-2.650000164285302
390,6.589999629184604,-2.630000164732337
391,6.589999629184604,-2.610000165179372
392,6.589999629184604,-2.5900001656264067
393,6.589999629184604,-2.5700001660734415
394,6.589999629184604,-2.5500001665204763
395,6.589999629184604,-2.530000166967511
396,6.5699996296316385,-2.510000167414546
397,6.5699996296316385,-2.490000167861581
398,6.550550167175743,-2.4893922577189187
399,6.5468233606184185,-2.480112472770088
400,6.539399044378115,-2.473413864521376
401,6.529999630525708,-2.4700001683086157
402,6.509999630972743,-2.4500001687556505
403,6.489999631419778,-2.4300001692026854
404,6.469999631866813,-2.41000016964972
405,6.4499996323138475,-2.390000170096755
406,6.429999632760882,-2.37000017054379
407,6.409999633207917,-2.37000017054379
408,6.389999633654952,-2.3500001709908247
409,6.369999634101987,-2.3300001714378595
410,6.349999634549022,-2.3100001718848944
411,6.329999634996057,-2.290000172331929
412,6.309999635443091,-2.270000172778964
413,6.289999635890126,-2.250000173225999
414,6.269999636337161,-2.2300001736730337
415,6.249999636784196,-2.2100001741200686
416,6.229999637231231,-2.1900001745671034
417,6.209999637678266,-2.170000175014138
418,6.1899996381253,-2.150000175461173
419,6.169999638572335,-2.130000175908208
420,6.14999963901937,-2.1100001763552427
421,6.129999639466405,-2.0900001768022776
422,6.10999963991344,-2.0700001772493124
423,6.089999640360475,-2.0500001776963472
424,6.069999640807509,-2.030000178143382
425,6.049999641254544,-2.010000178590417
426,6.029999641701579,-1.9900001790374517
427,6.009999642148614,-1.9700001794844866
428,5.989999642595649,-1.9500001799315214
429,5.969999643042684,-1.9300001803785563
430,5.949999643489718,-1.910000180825591
431,5.929999643936753,-1.890000181272626
432,5.909999644383788,-1.8700001817196608
433,5.889999644830823,-1.8500001821666956
434,5.869999645277858,-1.8300001826137304
435,5.849999645724893,-1.8100001830607653
436,5.8299996461719275,-1.7900001835078
437,5.809999646618962,-1.770000183954835
438,5.789999647065997,-1.7500001844018698
439,5.769999647513032,-1.7300001848489046
440,5.749999647960067,-1.7100001852959394
441,5.729999648407102,-1.6900001857429743
442,5.7099996488541365,-1.6700001861900091
443,5.689999649301171,-1.650000186637044
444,5.669999649748206,-1.6300001870840788
445,5.649999650195241,-1.6100001875311136
446,5.629999650642276,-1.5900001879781485
447,5.609999651089311,-1.5700001884251833
448,5.5899996515363455,-1.5500001888722181
449,5.56999965198338,-1.530000189319253
450,5.549999652430415,-1.5100001897662878
451,5.52999965287745,-1.4900001902133226
452,5.509999653324485,-1.4700001906603575
453,5.48999965377152,-1.4500001911073923
454,5.4699996542185545,-1.4300001915544271
455,5.449999654665589,-1.410000192001462
456,5.429999655112624,-1.3900001924484968
457,5.409999655559659,-1.3700001928955317
458,5.389999656006694,-1.3500001933425665
459,5.369999656453729,-1.3300001937896013
460,5.3499996569007635,-1.3100001942366362
461,5.329999657347798,-1.290000194683671
462,5.309999657794833,-1.2700001951307058
463,5.289999658241868,-1.2500001955777407
464,5.269999658688903,-1.2300001960247755
465,5.249999659135938,-1.2100001964718103
466,5.2299996595829725,-1.1900001969188452
467,5.209999660030007,-1.17000019736588
468,5.189999660477042,-1.1500001978129148
469,5.169999660924077,-1.1300001982599497
470,5.149999661371112,-1.1100001987069845
471,5.129999661818147,-1.0900001991540194
472,5.1099996622651815,-1.0700001996010542
473,5.089999662712216,-1.050000200048089
474,5.069999663159251,-1.0300002004951239
475,5.049999663606286,-1.0100002009421587
476,5.029999664053321,-0.9900002013891935
477,5.009999664500356,-0.9700002018362284
478,4.989999664947391,-0.9500002022832632
479,4.969999665394425,-0.930000202730298
480,4.94999966584146,-0.9100002031773329
481,4.929999666288495,-0.8900002036243677
482,4.90999966673553,-0.8700002040714025
483,4.889999667182565,-0.8500002045184374
484,4.8699996676296,-0.8300002049654722
485,4.849999668076634,-0.8100002054125071
486,4.829999668523669,-0.7900002058595419
487,4.809999668970704,-0.7700002063065767
488,4.789999669417739,-0.7500002067536116
489,4.769999669864774,-0.7300002072006464
490,4.749999670311809,-0.7100002076476812
491,4.729999670758843,-0.6900002080947161
492,4.709999671205878,-0.6700002085417509
493,4.689999671652913,-0.6500002089887857
494,4.669999672099948,-0.6300002094358206
495,4.649999672546983,-0.6100002098828554
496,4.629999672994018,-0.5900002103298903
497,4.609999673441052,-0.5700002107769251
498,4.589999673888087,-0.5500002112239599
499,4.569999674335122,-0.5300002116709948
500,4.549999674782157,-0.5300002116709948
501,4.529999675229192,-0.5300002116709948
502,4.509999675676227,-0.5300002116709948
503,4.4899996761232615,-0.5300002116709948
504,4.469999676570296,-0.5300002116709948
505,4.449999677017331,-0.5300002116709948
506,4.429999677464366,-0.5300002116709948
507,4.409999677911401,-0.5300002116709948
508,4.389999678358436,-0.5300002116709948
509,4.3699996788054705,-0.5300002116709948
510,4.349999679252505,-0.5300002116709948
511,4.32999967969954,-0.5300002116709948
512,4.309999680146575,-0.5300002116709948
513,4.28999968059361,-0.5300002116709948
514,4.269999681040645,-0.5300002116709948
515,4.2499996814876795,-0.5300002116709948
516,4.229999681934714,-0.5300002116709948
517,4.209999682381749,-0.5300002116709948
518,4.189999682828784,-0.5300002116709948
519,4.169999683275819,-0.5300002116709948
